Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Priority,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Description,Watchers,Watchers Id,Epic Link Summary,Custom field (Epic Name),Parent,Parent summary,Status Category
Add Username and Date to Review,CS-84,10101,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,14/Sep/23 11:08 PM,14/Sep/23 11:09 PM,14/Sep/23 11:10 PM,,Add User’s name and date of review posting to a review.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Review Functionality,,10094,Review Functionality,In Progress
Remove Review,CS-83,10100,Test case,ASSIGNED TO TEST,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,13/Sep/23 2:50 PM,14/Sep/23 11:07 PM,13/Sep/23 2:51 PM,,"*Test objective:* To verify if remove review works properly

*Test steps:*

# Launch the website.
# Log in.
# Go the products catalog subpage .
# Click on any product name to go to its detail subpage.
# Write “Good product“ in review input field
# Click “Post Review“
# Click on “Remove“ button
# Reload page.

*Expected result:*

* The review has been deleted.",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Review Functionality,,10094,Review Functionality,To Do
Post Review Product Verification,CS-82,10099,Test case,ASSIGNED TO TEST,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,13/Sep/23 2:47 PM,14/Sep/23 11:07 PM,13/Sep/23 2:51 PM,,"*Test objective:* To verify if user is able to post a review of a product and this review remains

*Test steps:*

# Launch the website.
# Log in.
# Go the products catalog subpage .
# Click on any product name to go to its detail subpage.
# Write “Good product“ in review input field
# Click “Post Review“
# Reload page.

*Expected result:*

* The review is present on a web",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Review Functionality,,10094,Review Functionality,To Do
Create Review Logic,CS-81,10098,New Feature,In Progress,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 6:36 PM,12/Sep/23 6:36 PM,13/Sep/23 11:06 AM,,Create a backend for rating functionality,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Review Functionality,,10094,Review Functionality,In Progress
Add Review Table to the Database,CS-80,10097,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 6:32 PM,12/Sep/23 6:36 PM,12/Sep/23 6:32 PM,12/Sep/23 6:36 PM,Create a database table for storing reviews of every product for every user.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Review Functionality,,10094,Review Functionality,Done
Add Review Elements,CS-79,10096,New Feature,Done,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 5:38 PM,12/Sep/23 6:36 PM,12/Sep/23 6:36 PM,12/Sep/23 6:36 PM,Add 'Post Review' button and input field where user can type a review.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Review Functionality,,10094,Review Functionality,Done
Create Average Rate,CS-78,10095,New Feature,To Do,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 1:43 PM,12/Sep/23 1:44 PM,13/Sep/23 2:47 PM,,Add an information about average rate of certain product.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Rating Functionality,,10088,Rating Functionality,To Do
Review Functionality,CS-77,10094,Epic,To Do,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 1:43 PM,14/Sep/23 11:08 PM,14/Sep/23 11:07 PM,,Create a functionality that allows user to leave reviews of products.,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,,Review Functionality,,,To Do
Reset Rating,CS-76,10093,Test case,ASSIGNED TO TEST,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 1:40 PM,14/Sep/23 11:06 PM,13/Sep/23 2:51 PM,,"*Test objective:* To verify if reseting rating works properly

*Test steps:*

# Launch the website.
# Log in.
# Go the products catalog subpage .
# Click on any product name to go to its detail subpage.
# Click on a particular star to rate it.
# Click on “reset rating” button on a page.

*Expected result:*

* The rating has been reseted. (There are no stars selected)",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Rating Functionality,,10088,Rating Functionality,To Do
Rate Product Verification,CS-75,10092,Test case,ASSIGNED TO TEST,CS,Cloth Shop,software,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Medium,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,12/Sep/23 1:08 PM,12/Sep/23 5:37 PM,13/Sep/23 2:47 PM,,"*Test objective:* To verify if user is able to rate product and this rating remains.

*Test steps:*

# Launch the website.
# Log in.
# Go the products catalog subpage .
# Click on any product name to go to its detail subpage.
# Click on a particular star to rate it.
# Reload page.

*Expected result:*

* The rating remains same as previously selected",Kokosz,712020:db1a0d50-6911-4364-8eba-7aea2f3a676f,Rating Functionality,,10088,Rating Functionality,To Do
